,City ID,City Name,Longitude,Latitude,Cloudiness,Temp,Humidity,Wind Speed,Country,Date,Max Temp
413,1714733,Dingle,122.6711,10.9995,97,75.9,90,5.12,PH,1659477056,75.9
414,2122605,Okhotsk,143.3,59.3833,88,59.16,83,4.14,RU,1659477056,59.16
415,149812,Sokoni,39.55,-6.4333,35,73.26,79,12.15,TZ,1659477057,73.26
416,1214488,Meulaboh,96.1285,4.1363,100,73.99,88,3.78,ID,1659477057,73.99
417,1507116,Dudinka,86.1778,69.4058,7,43.63,79,8.14,RU,1659477057,43.63
418,1488167,Ust'-Koksa,85.6108,50.2696,66,51.67,91,0.63,RU,1659477058,51.67
419,2191562,Dunedin,170.5036,-45.8742,5,55.8,41,1.99,NZ,1659477058,55.8
420,3092472,Malbork,19.0266,54.0359,99,57.54,69,4.85,PL,1659477058,63.88
421,1150965,Ranong,98.6348,9.9658,100,78.01,92,15.37,TH,1659477058,78.01
422,3533462,Acapulco de Juárez,-99.8901,16.8634,4,88.39,62,7.74,MX,1659476903,88.39
423,1860871,Kadoma,135.5833,34.7333,87,83.08,70,4.61,JP,1659477059,86.18
424,609906,Fort-Shevchenko,50.263,44.5086,0,81.09,58,11.32,KZ,1659477059,81.09
425,3853354,Junín,-60.9433,-34.5838,0,58.17,55,7.14,AR,1659476959,58.17
426,2026861,Berdigestyakh,126.6992,62.0989,76,64.72,93,2.59,RU,1659477060,64.72
427,3698608,Celendín,-78.1517,-6.8703,31,70.32,49,6.89,PE,1659477060,70.32
428,8079926,Labuhan,112.2051,-6.8844,36,75.52,90,6.89,ID,1659477060,75.52
429,3408424,Ipixuna,-48.8043,-1.7625,86,80.31,78,4.59,BR,1659477061,80.31
430,3472287,Anápolis,-48.9528,-16.3267,0,78.4,36,4.61,BR,1659476782,82.87
431,2014624,Udachny,112.4,66.4167,100,44.46,100,17.58,RU,1659477061,44.46
432,3837213,San Juan,-68.5364,-31.5375,0,60.55,37,12.24,AR,1659476874,60.55
433,2276492,Harper,-7.7169,4.375,100,75.49,72,7.47,LR,1659477062,75.49
434,1791388,Wenzhou,120.6668,27.9994,11,79.34,90,1.34,CN,1659477062,79.34
435,1337178,Dhamrai,90.2109,23.9202,100,82.38,87,5.03,BD,1659477062,82.38
436,1856068,Nago,127.9761,26.5881,6,78.87,83,0.51,JP,1659477063,81.45
437,2397978,Mounana,13.1586,-1.4085,68,78.44,52,3.71,GA,1659477063,78.44
438,5855051,‘Ewa Beach,-158.0072,21.3156,75,81.77,58,18.41,US,1659477063,84.09
439,1733449,Kinarut,116.0466,5.8231,20,76.91,94,0.0,MY,1659477064,77.02
440,5962442,Goderich,-81.7165,43.7501,8,68.32,68,9.22,CA,1659476978,69.91
441,3974771,Praxédis Guerrero,-106.0167,31.3667,10,99.57,18,7.47,MX,1659477064,99.57
442,1226260,Trincomalee,81.2335,8.5711,100,79.36,81,25.34,LK,1659477065,79.36
443,6149996,Smithers,-127.1743,54.7804,100,59.32,72,2.3,CA,1659477065,59.32
444,1253237,Verāval,70.3667,20.9,100,81.9,81,10.69,IN,1659477065,81.9
445,2399831,Lékoni,14.2591,-1.5843,87,83.89,39,2.89,GA,1659477065,83.89
446,6050066,La Ronge,-105.2842,55.1001,100,57.45,82,19.57,CA,1659477066,57.45
447,3453014,Porangatu,-49.1486,-13.4408,8,81.12,27,3.36,BR,1659477066,81.12
448,2745087,Gemeente Wageningen,5.6667,51.9667,21,70.03,81,1.14,NL,1659477066,72.95
449,1856392,Muroto-misakicho,134.15,33.2833,66,81.5,84,9.48,JP,1659477067,81.5
450,1715775,Lantawan,123.9833,10.6167,59,76.69,85,1.12,PH,1659477067,76.69
451,2037485,Erenhot,111.9767,43.6475,53,74.82,68,7.61,CN,1659477067,74.82
